INFO:root:Started
INFO:root:Front-end заработал
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '282', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '830', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '614'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '849'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '708', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '944'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '478'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '558', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '974'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '160', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '478', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '655'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '114', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '436', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '280', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '997'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '393', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '786', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '241'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '69'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '924'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '576', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '232'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '511', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '339', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '929', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '830', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '11', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '600', 'decrease': ''}
